run_id,canonical_name,tag_original,n_files,total_mb,files,segmenter,segmenter_model,embedder,neighbor_window,vector_search_limit,expand_context,max_num_segments,bm25_fusion,reranker,answer_path,judge_model,judge_variant,answerer_model,group,repetition,INVALID,undecoded_tokens
R0001,R0001__a,a-vs-natural-n3,1,0.0,log-a-vs-natural-n3.out,a,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,vs natural n3
R0002,R0002__allt,all_t,1,0.0,log-ingest-all_t.out,all_t,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0003,R0003__auditbatch1,audit_batch_1,1,0.13,audit_batch_1.json,audit_batch_1,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0004,R0004__auditbatch1result,audit_batch_1_result,1,0.01,audit_batch_1_result.json,audit_batch_1_result,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0005,R0005__auditbatch1strict,audit_batch_1_strict,1,0.01,audit_batch_1_strict.json,audit_batch_1_strict,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0006,R0006__auditbatch2,audit_batch_2,1,0.1,audit_batch_2.json,audit_batch_2,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0007,R0007__auditbatch2result,audit_batch_2_result,1,0.01,audit_batch_2_result.json,audit_batch_2_result,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0008,R0008__auditbatch2strict,audit_batch_2_strict,1,0.01,audit_batch_2_strict.json,audit_batch_2_strict,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0009,R0009__auditbatch3,audit_batch_3,1,0.1,audit_batch_3.json,audit_batch_3,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0010,R0010__auditbatch3result,audit_batch_3_result,1,0.01,audit_batch_3_result.json,audit_batch_3_result,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0011,R0011__auditbatch3strict,audit_batch_3_strict,1,0.01,audit_batch_3_strict.json,audit_batch_3_strict,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0012,R0012__auditxpurp2outputs,audit_xpurp2_outputs,1,0.1,audit_xpurp2_outputs.txt,audit_xpurp2_outputs,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0013,R0013__augment,augment-framings,1,0.0,log-augment-framings.out,augment,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,framings
R0014,R0014__baseline__bm25,baseline-bm25-eval,1,0.6,baseline-bm25-eval.json,baseline,,text-embedding-3-small 1536d (default),,,,,"additive, weight 0.25",enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,eval
R0015,R0015__baseline__bm25,baseline-bm25-search,1,3.94,baseline-bm25-search.json,baseline,,text-embedding-3-small 1536d (default),,,,,"additive, weight 0.25",enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,search
R0016,R0016__baseline,baseline-classic,1,0.0,log-baseline-classic.out,baseline,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,classic
R0017,R0017__baseline,baseline-cos-eval,1,0.61,baseline-cos-eval.json,baseline,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,cos eval
R0018,R0018__baseline,baseline-cos-search,1,4.0,baseline-cos-search.json,baseline,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,cos search
R0019,R0019__baseline,baseline-cosNR-eval,1,0.63,baseline-cosNR-eval.json,baseline,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,cosNR eval
R0020,R0020__baseline,baseline-cosNR-search,1,3.7,baseline-cosNR-search.json,baseline,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,cosNR search
R0021,R0021__unkseg__bm7,bm07,2,2.1,log-eval-bm07.out | log-search-bm07.out,,,text-embedding-3-small 1536d (default),,,,,"additive, weight 0.7",enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0022,R0022__unkseg__bm1.0,bm10,2,2.05,log-eval-bm10.out | log-search-bm10.out,,,text-embedding-3-small 1536d (default),,,,,"additive, weight 1.0",enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0023,R0023__bm25c,bm25_c,1,0.0,log-ingest-bm25_c.out,bm25_c,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0024,R0024__bm25cd,bm25_cd,1,0.0,log-ingest-bm25_cd.out,bm25_cd,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0025,R0025__bm25mc,bm25_mc,1,0.0,log-ingest-bm25_mc.out,bm25_mc,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0026,R0026__bm25mcd,bm25_mcd,1,0.0,log-ingest-bm25_mcd.out,bm25_mcd,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0027,R0027__confirm__bm25only,bm25only-confirm,1,0.0,log-bm25only-confirm.out,confirm,,text-embedding-3-small 1536d (default),,,,,BM25-only channel (no vector retrieval),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,
R0028,R0028__cache__v2el,cache-terse-v2-aug,1,5.53,cache-terse-v2-aug.json,cache,,text-embedding-3-small 1536d (default),,2,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,terse aug
R0029,R0029__cache__v2el,cache-terse-v2-raw,1,3.99,cache-terse-v2-raw.json,cache,,text-embedding-3-small 1536d (default),,2,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,terse raw
R0030,R0030__cldr,cldr-alias-ablation,1,0.0,log-cldr-alias-ablation.out,cldr,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,alias ablation
R0031,R0031__combined,combined-simplification,1,0.0,log-combined-simplification.out,combined,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,simplification
R0032,R0032__complete,complete-n3,1,0.0,log-complete-n3.out,complete,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,n3
R0033,R0033__ctxA,ctxA-golddrop,1,0.0,log-ctxA-golddrop.txt,ctxA,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,golddrop
R0034,R0034__ctxA__v2el,ctxA-golddrop-v2,1,0.0,log-ctxA-golddrop-v2.txt,ctxA,,text-embedding-3-small 1536d (default),,2,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,golddrop
R0035,R0035__ctxA,ctxA-sample,1,0.0,log-ctxA-sample.txt,ctxA,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,sample
R0036,R0036__ctxfilter,ctxfilter-A-golddrop,1,0.02,ctxfilter-A-golddrop.json,ctxfilter,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,A golddrop
R0037,R0037__ctxfilter,ctxfilter-A-sample,1,0.02,ctxfilter-A-sample.json,ctxfilter,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,A sample
R0038,R0038__datealias,datealias-channel-ablation,1,0.0,log-datealias-channel-ablation.out,datealias,,text-embedding-3-small 1536d (default),,,,,none (default),enabled (default),,gpt-5 (default),mem0-classic (default),,all 10 conversations,,,channel ablation
